serialAuto;nombreAuto;modeloAuto;precioPorDiaAuto;nombreCliente;apellidoCliente;direccionCliente;cedulaCliente
Serial-prueba-carga-62;Nombre prueba carga 62;1960;161000;Andres 62;Montoya 62;Direccion 62;1000000061
Serial-prueba-carga-63;Nombre prueba carga 63;1959;162000;Andres 63;Montoya 63;Direccion 63;1000000062
Serial-prueba-carga-64;Nombre prueba carga 64;1958;163000;Andres 64;Montoya 64;Direccion 64;1000000063
Serial-prueba-carga-65;Nombre prueba carga 65;1957;164000;Andres 65;Montoya 65;Direccion 65;1000000064
Serial-prueba-carga-66;Nombre prueba carga 66;1956;165000;Andres 66;Montoya 66;Direccion 66;1000000065
Serial-prueba-carga-67;Nombre prueba carga 67;1955;166000;Andres 67;Montoya 67;Direccion 67;1000000066
Serial-prueba-carga-68;Nombre prueba carga 68;1954;167000;Andres 68;Montoya 68;Direccion 68;1000000067
Serial-prueba-carga-69;Nombre prueba carga 69;1953;168000;Andres 69;Montoya 69;Direccion 69;1000000068
Serial-prueba-carga-70;Nombre prueba carga 70;1952;169000;Andres 70;Montoya 70;Direccion 70;1000000069
Serial-prueba-carga-71;Nombre prueba carga 71;1951;170000;Andres 71;Montoya 71;Direccion 71;1000000070
Serial-prueba-carga-72;Nombre prueba carga 72;1950;171000;Andres 72;Montoya 72;Direccion 72;1000000071
Serial-prueba-carga-73;Nombre prueba carga 73;1949;172000;Andres 73;Montoya 73;Direccion 73;1000000072
Serial-prueba-carga-74;Nombre prueba carga 74;1948;173000;Andres 74;Montoya 74;Direccion 74;1000000073
Serial-prueba-carga-75;Nombre prueba carga 75;1947;174000;Andres 75;Montoya 75;Direccion 75;1000000074
Serial-prueba-carga-76;Nombre prueba carga 76;1946;175000;Andres 76;Montoya 76;Direccion 76;1000000075
Serial-prueba-carga-77;Nombre prueba carga 77;1945;176000;Andres 77;Montoya 77;Direccion 77;1000000076
Serial-prueba-carga-78;Nombre prueba carga 78;1944;177000;Andres 78;Montoya 78;Direccion 78;1000000077
Serial-prueba-carga-79;Nombre prueba carga 79;1943;178000;Andres 79;Montoya 79;Direccion 79;1000000078
Serial-prueba-carga-80;Nombre prueba carga 80;1942;179000;Andres 80;Montoya 80;Direccion 80;1000000079
Serial-prueba-carga-81;Nombre prueba carga 81;1941;180000;Andres 81;Montoya 81;Direccion 81;1000000080
Serial-prueba-carga-82;Nombre prueba carga 82;1940;181000;Andres 82;Montoya 82;Direccion 82;1000000081
Serial-prueba-carga-83;Nombre prueba carga 83;1939;182000;Andres 83;Montoya 83;Direccion 83;1000000082
Serial-prueba-carga-84;Nombre prueba carga 84;1938;183000;Andres 84;Montoya 84;Direccion 84;1000000083
Serial-prueba-carga-85;Nombre prueba carga 85;1937;184000;Andres 85;Montoya 85;Direccion 85;1000000084
Serial-prueba-carga-86;Nombre prueba carga 86;1936;185000;Andres 86;Montoya 86;Direccion 86;1000000085
Serial-prueba-carga-87;Nombre prueba carga 87;1935;186000;Andres 87;Montoya 87;Direccion 87;1000000086
Serial-prueba-carga-88;Nombre prueba carga 88;1934;187000;Andres 88;Montoya 88;Direccion 88;1000000087
Serial-prueba-carga-89;Nombre prueba carga 89;1933;188000;Andres 89;Montoya 89;Direccion 89;1000000088
Serial-prueba-carga-90;Nombre prueba carga 90;1932;189000;Andres 90;Montoya 90;Direccion 90;1000000089
Serial-prueba-carga-91;Nombre prueba carga 91;1931;190000;Andres 91;Montoya 91;Direccion 91;1000000090
Serial-prueba-carga-92;Nombre prueba carga 92;1930;191000;Andres 92;Montoya 92;Direccion 92;1000000091
Serial-prueba-carga-93;Nombre prueba carga 93;1929;192000;Andres 93;Montoya 93;Direccion 93;1000000092
Serial-prueba-carga-94;Nombre prueba carga 94;1928;193000;Andres 94;Montoya 94;Direccion 94;1000000093
Serial-prueba-carga-95;Nombre prueba carga 95;1927;194000;Andres 95;Montoya 95;Direccion 95;1000000094
Serial-prueba-carga-96;Nombre prueba carga 96;1926;195000;Andres 96;Montoya 96;Direccion 96;1000000095
Serial-prueba-carga-97;Nombre prueba carga 97;1925;196000;Andres 97;Montoya 97;Direccion 97;1000000096
Serial-prueba-carga-98;Nombre prueba carga 98;1924;197000;Andres 98;Montoya 98;Direccion 98;1000000097
Serial-prueba-carga-99;Nombre prueba carga 99;1923;198000;Andres 99;Montoya 99;Direccion 99;1000000098
Serial-prueba-carga-100;Nombre prueba carga 100;1922;199000;Andres 100;Montoya 100;Direccion 100;1000000099
Serial-prueba-carga-101;Nombre prueba carga 101;1921;200000;Andres 101;Montoya 101;Direccion 101;1000000100
Serial-prueba-carga-102;Nombre prueba carga 102;1920;201000;Andres 102;Montoya 102;Direccion 102;1000000101
Serial-prueba-carga-103;Nombre prueba carga 103;1919;202000;Andres 103;Montoya 103;Direccion 103;1000000102
Serial-prueba-carga-104;Nombre prueba carga 104;1918;203000;Andres 104;Montoya 104;Direccion 104;1000000103
Serial-prueba-carga-105;Nombre prueba carga 105;1917;204000;Andres 105;Montoya 105;Direccion 105;1000000104
Serial-prueba-carga-106;Nombre prueba carga 106;1916;205000;Andres 106;Montoya 106;Direccion 106;1000000105
Serial-prueba-carga-107;Nombre prueba carga 107;1915;206000;Andres 107;Montoya 107;Direccion 107;1000000106
Serial-prueba-carga-108;Nombre prueba carga 108;1914;207000;Andres 108;Montoya 108;Direccion 108;1000000107
Serial-prueba-carga-109;Nombre prueba carga 109;1913;208000;Andres 109;Montoya 109;Direccion 109;1000000108
Serial-prueba-carga-110;Nombre prueba carga 110;1912;209000;Andres 110;Montoya 110;Direccion 110;1000000109
Serial-prueba-carga-111;Nombre prueba carga 111;1911;210000;Andres 111;Montoya 111;Direccion 111;1000000110
Serial-prueba-carga-112;Nombre prueba carga 112;1910;211000;Andres 112;Montoya 112;Direccion 112;1000000111
Serial-prueba-carga-113;Nombre prueba carga 113;1909;212000;Andres 113;Montoya 113;Direccion 113;1000000112
Serial-prueba-carga-114;Nombre prueba carga 114;1908;213000;Andres 114;Montoya 114;Direccion 114;1000000113
Serial-prueba-carga-115;Nombre prueba carga 115;1907;214000;Andres 115;Montoya 115;Direccion 115;1000000114
Serial-prueba-carga-116;Nombre prueba carga 116;1906;215000;Andres 116;Montoya 116;Direccion 116;1000000115
Serial-prueba-carga-117;Nombre prueba carga 117;1905;216000;Andres 117;Montoya 117;Direccion 117;1000000116
Serial-prueba-carga-118;Nombre prueba carga 118;1904;217000;Andres 118;Montoya 118;Direccion 118;1000000117
Serial-prueba-carga-119;Nombre prueba carga 119;1903;218000;Andres 119;Montoya 119;Direccion 119;1000000118
Serial-prueba-carga-120;Nombre prueba carga 120;1902;219000;Andres 120;Montoya 120;Direccion 120;1000000119
Serial-prueba-carga-121;Nombre prueba carga 121;1901;220000;Andres 121;Montoya 121;Direccion 121;1000000120
Serial-prueba-carga-122;Nombre prueba carga 122;1900;221000;Andres 122;Montoya 122;Direccion 122;1000000121
Serial-prueba-carga-123;Nombre prueba carga 123;1899;222000;Andres 123;Montoya 123;Direccion 123;1000000122
Serial-prueba-carga-124;Nombre prueba carga 124;1898;223000;Andres 124;Montoya 124;Direccion 124;1000000123
Serial-prueba-carga-125;Nombre prueba carga 125;1897;224000;Andres 125;Montoya 125;Direccion 125;1000000124
Serial-prueba-carga-126;Nombre prueba carga 126;1896;225000;Andres 126;Montoya 126;Direccion 126;1000000125
Serial-prueba-carga-127;Nombre prueba carga 127;1895;226000;Andres 127;Montoya 127;Direccion 127;1000000126
Serial-prueba-carga-128;Nombre prueba carga 128;1894;227000;Andres 128;Montoya 128;Direccion 128;1000000127
Serial-prueba-carga-129;Nombre prueba carga 129;1893;228000;Andres 129;Montoya 129;Direccion 129;1000000128
Serial-prueba-carga-130;Nombre prueba carga 130;1892;229000;Andres 130;Montoya 130;Direccion 130;1000000129
Serial-prueba-carga-131;Nombre prueba carga 131;1891;230000;Andres 131;Montoya 131;Direccion 131;1000000130
Serial-prueba-carga-132;Nombre prueba carga 132;1890;231000;Andres 132;Montoya 132;Direccion 132;1000000131
Serial-prueba-carga-133;Nombre prueba carga 133;1889;232000;Andres 133;Montoya 133;Direccion 133;1000000132
Serial-prueba-carga-134;Nombre prueba carga 134;1888;233000;Andres 134;Montoya 134;Direccion 134;1000000133
Serial-prueba-carga-135;Nombre prueba carga 135;1887;234000;Andres 135;Montoya 135;Direccion 135;1000000134
Serial-prueba-carga-136;Nombre prueba carga 136;1886;235000;Andres 136;Montoya 136;Direccion 136;1000000135
Serial-prueba-carga-137;Nombre prueba carga 137;1885;236000;Andres 137;Montoya 137;Direccion 137;1000000136
Serial-prueba-carga-138;Nombre prueba carga 138;1884;237000;Andres 138;Montoya 138;Direccion 138;1000000137
Serial-prueba-carga-139;Nombre prueba carga 139;1883;238000;Andres 139;Montoya 139;Direccion 139;1000000138
Serial-prueba-carga-140;Nombre prueba carga 140;1882;239000;Andres 140;Montoya 140;Direccion 140;1000000139
Serial-prueba-carga-141;Nombre prueba carga 141;1881;240000;Andres 141;Montoya 141;Direccion 141;1000000140
Serial-prueba-carga-142;Nombre prueba carga 142;1880;241000;Andres 142;Montoya 142;Direccion 142;1000000141
Serial-prueba-carga-143;Nombre prueba carga 143;1879;242000;Andres 143;Montoya 143;Direccion 143;1000000142
Serial-prueba-carga-144;Nombre prueba carga 144;1878;243000;Andres 144;Montoya 144;Direccion 144;1000000143
Serial-prueba-carga-145;Nombre prueba carga 145;1877;244000;Andres 145;Montoya 145;Direccion 145;1000000144
Serial-prueba-carga-146;Nombre prueba carga 146;1876;245000;Andres 146;Montoya 146;Direccion 146;1000000145
Serial-prueba-carga-147;Nombre prueba carga 147;1875;246000;Andres 147;Montoya 147;Direccion 147;1000000146
Serial-prueba-carga-148;Nombre prueba carga 148;1874;247000;Andres 148;Montoya 148;Direccion 148;1000000147
Serial-prueba-carga-149;Nombre prueba carga 149;1873;248000;Andres 149;Montoya 149;Direccion 149;1000000148
Serial-prueba-carga-150;Nombre prueba carga 150;1872;249000;Andres 150;Montoya 150;Direccion 150;1000000149
Serial-prueba-carga-151;Nombre prueba carga 151;1871;250000;Andres 151;Montoya 151;Direccion 151;1000000150
Serial-prueba-carga-152;Nombre prueba carga 152;1870;251000;Andres 152;Montoya 152;Direccion 152;1000000151
Serial-prueba-carga-153;Nombre prueba carga 153;1869;252000;Andres 153;Montoya 153;Direccion 153;1000000152
Serial-prueba-carga-154;Nombre prueba carga 154;1868;253000;Andres 154;Montoya 154;Direccion 154;1000000153
Serial-prueba-carga-155;Nombre prueba carga 155;1867;254000;Andres 155;Montoya 155;Direccion 155;1000000154
Serial-prueba-carga-156;Nombre prueba carga 156;1866;255000;Andres 156;Montoya 156;Direccion 156;1000000155
Serial-prueba-carga-157;Nombre prueba carga 157;1865;256000;Andres 157;Montoya 157;Direccion 157;1000000156
Serial-prueba-carga-158;Nombre prueba carga 158;1864;257000;Andres 158;Montoya 158;Direccion 158;1000000157
Serial-prueba-carga-159;Nombre prueba carga 159;1863;258000;Andres 159;Montoya 159;Direccion 159;1000000158
Serial-prueba-carga-160;Nombre prueba carga 160;1862;259000;Andres 160;Montoya 160;Direccion 160;1000000159
Serial-prueba-carga-161;Nombre prueba carga 161;1861;260000;Andres 161;Montoya 161;Direccion 161;1000000160
Serial-prueba-carga-162;Nombre prueba carga 162;1860;261000;Andres 162;Montoya 162;Direccion 162;1000000161
Serial-prueba-carga-163;Nombre prueba carga 163;1859;262000;Andres 163;Montoya 163;Direccion 163;1000000162
Serial-prueba-carga-164;Nombre prueba carga 164;1858;263000;Andres 164;Montoya 164;Direccion 164;1000000163
Serial-prueba-carga-165;Nombre prueba carga 165;1857;264000;Andres 165;Montoya 165;Direccion 165;1000000164
Serial-prueba-carga-166;Nombre prueba carga 166;1856;265000;Andres 166;Montoya 166;Direccion 166;1000000165
Serial-prueba-carga-167;Nombre prueba carga 167;1855;266000;Andres 167;Montoya 167;Direccion 167;1000000166
Serial-prueba-carga-168;Nombre prueba carga 168;1854;267000;Andres 168;Montoya 168;Direccion 168;1000000167
Serial-prueba-carga-169;Nombre prueba carga 169;1853;268000;Andres 169;Montoya 169;Direccion 169;1000000168
Serial-prueba-carga-170;Nombre prueba carga 170;1852;269000;Andres 170;Montoya 170;Direccion 170;1000000169
Serial-prueba-carga-171;Nombre prueba carga 171;1851;270000;Andres 171;Montoya 171;Direccion 171;1000000170
Serial-prueba-carga-172;Nombre prueba carga 172;1850;271000;Andres 172;Montoya 172;Direccion 172;1000000171
Serial-prueba-carga-173;Nombre prueba carga 173;1849;272000;Andres 173;Montoya 173;Direccion 173;1000000172
Serial-prueba-carga-174;Nombre prueba carga 174;1848;273000;Andres 174;Montoya 174;Direccion 174;1000000173
Serial-prueba-carga-175;Nombre prueba carga 175;1847;274000;Andres 175;Montoya 175;Direccion 175;1000000174
Serial-prueba-carga-176;Nombre prueba carga 176;1846;275000;Andres 176;Montoya 176;Direccion 176;1000000175
Serial-prueba-carga-177;Nombre prueba carga 177;1845;276000;Andres 177;Montoya 177;Direccion 177;1000000176
Serial-prueba-carga-178;Nombre prueba carga 178;1844;277000;Andres 178;Montoya 178;Direccion 178;1000000177
Serial-prueba-carga-179;Nombre prueba carga 179;1843;278000;Andres 179;Montoya 179;Direccion 179;1000000178
Serial-prueba-carga-180;Nombre prueba carga 180;1842;279000;Andres 180;Montoya 180;Direccion 180;1000000179
Serial-prueba-carga-181;Nombre prueba carga 181;1841;280000;Andres 181;Montoya 181;Direccion 181;1000000180
Serial-prueba-carga-182;Nombre prueba carga 182;1840;281000;Andres 182;Montoya 182;Direccion 182;1000000181
Serial-prueba-carga-183;Nombre prueba carga 183;1839;282000;Andres 183;Montoya 183;Direccion 183;1000000182
Serial-prueba-carga-184;Nombre prueba carga 184;1838;283000;Andres 184;Montoya 184;Direccion 184;1000000183
Serial-prueba-carga-185;Nombre prueba carga 185;1837;284000;Andres 185;Montoya 185;Direccion 185;1000000184
Serial-prueba-carga-186;Nombre prueba carga 186;1836;285000;Andres 186;Montoya 186;Direccion 186;1000000185
Serial-prueba-carga-187;Nombre prueba carga 187;1835;286000;Andres 187;Montoya 187;Direccion 187;1000000186
Serial-prueba-carga-188;Nombre prueba carga 188;1834;287000;Andres 188;Montoya 188;Direccion 188;1000000187
Serial-prueba-carga-189;Nombre prueba carga 189;1833;288000;Andres 189;Montoya 189;Direccion 189;1000000188
Serial-prueba-carga-190;Nombre prueba carga 190;1832;289000;Andres 190;Montoya 190;Direccion 190;1000000189
Serial-prueba-carga-191;Nombre prueba carga 191;1831;290000;Andres 191;Montoya 191;Direccion 191;1000000190
Serial-prueba-carga-192;Nombre prueba carga 192;1830;291000;Andres 192;Montoya 192;Direccion 192;1000000191
Serial-prueba-carga-193;Nombre prueba carga 193;1829;292000;Andres 193;Montoya 193;Direccion 193;1000000192
Serial-prueba-carga-194;Nombre prueba carga 194;1828;293000;Andres 194;Montoya 194;Direccion 194;1000000193
Serial-prueba-carga-195;Nombre prueba carga 195;1827;294000;Andres 195;Montoya 195;Direccion 195;1000000194
Serial-prueba-carga-196;Nombre prueba carga 196;1826;295000;Andres 196;Montoya 196;Direccion 196;1000000195
Serial-prueba-carga-197;Nombre prueba carga 197;1825;296000;Andres 197;Montoya 197;Direccion 197;1000000196
Serial-prueba-carga-198;Nombre prueba carga 198;1824;297000;Andres 198;Montoya 198;Direccion 198;1000000197
Serial-prueba-carga-199;Nombre prueba carga 199;1823;298000;Andres 199;Montoya 199;Direccion 199;1000000198
Serial-prueba-carga-200;Nombre prueba carga 200;1822;299000;Andres 200;Montoya 200;Direccion 200;1000000199
Serial-prueba-carga-201;Nombre prueba carga 201;1821;300000;Andres 201;Montoya 201;Direccion 201;1000000200
Serial-prueba-carga-202;Nombre prueba carga 202;1820;301000;Andres 202;Montoya 202;Direccion 202;1000000201
Serial-prueba-carga-203;Nombre prueba carga 203;1819;302000;Andres 203;Montoya 203;Direccion 203;1000000202
Serial-prueba-carga-204;Nombre prueba carga 204;1818;303000;Andres 204;Montoya 204;Direccion 204;1000000203
Serial-prueba-carga-205;Nombre prueba carga 205;1817;304000;Andres 205;Montoya 205;Direccion 205;1000000204
Serial-prueba-carga-206;Nombre prueba carga 206;1816;305000;Andres 206;Montoya 206;Direccion 206;1000000205
Serial-prueba-carga-207;Nombre prueba carga 207;1815;306000;Andres 207;Montoya 207;Direccion 207;1000000206
Serial-prueba-carga-208;Nombre prueba carga 208;1814;307000;Andres 208;Montoya 208;Direccion 208;1000000207
Serial-prueba-carga-209;Nombre prueba carga 209;1813;308000;Andres 209;Montoya 209;Direccion 209;1000000208
Serial-prueba-carga-210;Nombre prueba carga 210;1812;309000;Andres 210;Montoya 210;Direccion 210;1000000209
Serial-prueba-carga-211;Nombre prueba carga 211;1811;310000;Andres 211;Montoya 211;Direccion 211;1000000210
Serial-prueba-carga-212;Nombre prueba carga 212;1810;311000;Andres 212;Montoya 212;Direccion 212;1000000211
Serial-prueba-carga-213;Nombre prueba carga 213;1809;312000;Andres 213;Montoya 213;Direccion 213;1000000212
Serial-prueba-carga-214;Nombre prueba carga 214;1808;313000;Andres 214;Montoya 214;Direccion 214;1000000213
Serial-prueba-carga-215;Nombre prueba carga 215;1807;314000;Andres 215;Montoya 215;Direccion 215;1000000214
Serial-prueba-carga-216;Nombre prueba carga 216;1806;315000;Andres 216;Montoya 216;Direccion 216;1000000215
Serial-prueba-carga-217;Nombre prueba carga 217;1805;316000;Andres 217;Montoya 217;Direccion 217;1000000216
Serial-prueba-carga-218;Nombre prueba carga 218;1804;317000;Andres 218;Montoya 218;Direccion 218;1000000217
Serial-prueba-carga-219;Nombre prueba carga 219;1803;318000;Andres 219;Montoya 219;Direccion 219;1000000218
Serial-prueba-carga-220;Nombre prueba carga 220;1802;319000;Andres 220;Montoya 220;Direccion 220;1000000219
Serial-prueba-carga-221;Nombre prueba carga 221;1801;320000;Andres 221;Montoya 221;Direccion 221;1000000220
Serial-prueba-carga-222;Nombre prueba carga 222;1800;321000;Andres 222;Montoya 222;Direccion 222;1000000221
Serial-prueba-carga-223;Nombre prueba carga 223;1799;322000;Andres 223;Montoya 223;Direccion 223;1000000222
Serial-prueba-carga-224;Nombre prueba carga 224;1798;323000;Andres 224;Montoya 224;Direccion 224;1000000223
Serial-prueba-carga-225;Nombre prueba carga 225;1797;324000;Andres 225;Montoya 225;Direccion 225;1000000224
Serial-prueba-carga-226;Nombre prueba carga 226;1796;325000;Andres 226;Montoya 226;Direccion 226;1000000225
Serial-prueba-carga-227;Nombre prueba carga 227;1795;326000;Andres 227;Montoya 227;Direccion 227;1000000226
Serial-prueba-carga-228;Nombre prueba carga 228;1794;327000;Andres 228;Montoya 228;Direccion 228;1000000227
Serial-prueba-carga-229;Nombre prueba carga 229;1793;328000;Andres 229;Montoya 229;Direccion 229;1000000228
Serial-prueba-carga-230;Nombre prueba carga 230;1792;329000;Andres 230;Montoya 230;Direccion 230;1000000229
Serial-prueba-carga-231;Nombre prueba carga 231;1791;330000;Andres 231;Montoya 231;Direccion 231;1000000230
Serial-prueba-carga-232;Nombre prueba carga 232;1790;331000;Andres 232;Montoya 232;Direccion 232;1000000231
Serial-prueba-carga-233;Nombre prueba carga 233;1789;332000;Andres 233;Montoya 233;Direccion 233;1000000232
Serial-prueba-carga-234;Nombre prueba carga 234;1788;333000;Andres 234;Montoya 234;Direccion 234;1000000233
Serial-prueba-carga-235;Nombre prueba carga 235;1787;334000;Andres 235;Montoya 235;Direccion 235;1000000234
Serial-prueba-carga-236;Nombre prueba carga 236;1786;335000;Andres 236;Montoya 236;Direccion 236;1000000235
Serial-prueba-carga-237;Nombre prueba carga 237;1785;336000;Andres 237;Montoya 237;Direccion 237;1000000236
Serial-prueba-carga-238;Nombre prueba carga 238;1784;337000;Andres 238;Montoya 238;Direccion 238;1000000237
Serial-prueba-carga-239;Nombre prueba carga 239;1783;338000;Andres 239;Montoya 239;Direccion 239;1000000238
Serial-prueba-carga-240;Nombre prueba carga 240;1782;339000;Andres 240;Montoya 240;Direccion 240;1000000239
Serial-prueba-carga-241;Nombre prueba carga 241;1781;340000;Andres 241;Montoya 241;Direccion 241;1000000240
Serial-prueba-carga-242;Nombre prueba carga 242;1780;341000;Andres 242;Montoya 242;Direccion 242;1000000241
Serial-prueba-carga-243;Nombre prueba carga 243;1779;342000;Andres 243;Montoya 243;Direccion 243;1000000242
Serial-prueba-carga-244;Nombre prueba carga 244;1778;343000;Andres 244;Montoya 244;Direccion 244;1000000243
Serial-prueba-carga-245;Nombre prueba carga 245;1777;344000;Andres 245;Montoya 245;Direccion 245;1000000244
Serial-prueba-carga-246;Nombre prueba carga 246;1776;345000;Andres 246;Montoya 246;Direccion 246;1000000245
Serial-prueba-carga-247;Nombre prueba carga 247;1775;346000;Andres 247;Montoya 247;Direccion 247;1000000246
